From;Installatie;Bedrijf
"Koninklijke Mosa B.V., locatie Vloertegel";Koninklijke Mosa B.V.;Koninklijke Mosa
"Koninklijke Mosa BV, locatie Wandtegel";Koninklijke Mosa B.V.;Koninklijke Mosa
Koole Tankstorage Botlek B.V. (BKG-1);Koole Tankstorage Botlek B.V.;Koole Tankstorage
Koole Tankstorage Botlek B.V. (BKG-2);Koole Tankstorage Botlek B.V.;Koole Tankstorage
Koole Tankstorage Minerals B.V.;Koole Tankstorage Botlek B.V.;Koole Tankstorage
Koole Tankstorage Pernis B.V.;Koole Tankstorage Botlek B.V.;Koole Tankstorage
Koudasfalt Staphorst BV;Koudasfalt Staphorst BV;Koudasfalt Staphorst
Kwekerij 4Evergreen - lokatie Steenbergen;Kwekerij;Kwekerij
Kwekerij De Kabel BV;Kwekerij;Kwekerij
Kwekerij de Wieringermeer;Kwekerij;Kwekerij
Kwekerij Helderman;Kwekerij;Kwekerij
Kwekerij Het Kraaiennest BV;Kwekerij;Kwekerij
Kwekerij Minida;Kwekerij;Kwekerij
Kwekerij Mooijman;Kwekerij;Kwekerij
Kwekerij Overgaag;Kwekerij;Kwekerij
KWS Infra B.V. Asfaltcentrale Eindhoven;Asfalt Centrales;Asfalt Centrales
KWS Infra B.V. Asfaltcentrale Roosendaal;Asfalt Centrales;Asfalt Centrales
"Lamb Weston Meijer V.O.F., vestiging Bergen op Zoom";"Lamb Weston Meijer V.O.F., vestiging Bergen op Zoom";"Lamb Weston Meijer V.O.F., vestiging Bergen op Zoom"
Leids Universitair Medisch Centrum;Leids Universitair Medisch Centrum;Leids Universitair Medisch Centrum
Lyondell Chemie Nederland B.V. - Botlek locatie;Lyondell Chemie Nederland B.V.;LyondellBasell
Lyondell Chemie Nederland B.V. - Europoort locatie;Lyondell Chemie Nederland B.V.;LyondellBasell
LyondellBasell Covestro Manufact. Maasvlakte VOF;Lyondell Chemie Nederland B.V.;LyondellBasell
MaasStroom Energie C.V.;MaasStroom Energie C.V.;Castleton
Maastricht Universitair Medisch Centrum + (MUMC+);Maastricht Universitair Medisch Centrum + (MUMC+);Maastricht Universitair Medisch Centrum + (MUMC+)
Mars Food Europe CV;Mars;Mars
Mars Nederland BV;Mars;Mars
Marsna Paper B.V.;Marsna Paper B.V.;Marsna Paper
Mayr-Melnhof Eerbeek B.V.;Mayr-Melnhof Eerbeek B.V.;Mayr-Melnhof Eerbeek
"McCain Foods Holland B.V., vestiging Lelystad";McCain Foods Holland B.V.;McCain Foods Holland
"McCain Foods Holland B.V., vestiging Lewedorp";McCain Foods Holland B.V.;McCain Foods Holland
"Ministerie van Defensie, Nieuwe Haven Terrein";"Ministerie van Defensie, Nieuwe Haven Terrein";Ministerie van Defensie
Moerdijk Production Site Basell Benelux B.V.;Moerdijk Production Site Basell Benelux B.V.;LyondellBasell
Monier Tegelen;Monier;Monier
Monier Woerden;Monier;Monier
N.V. Nederlandse Gasunie LNG Maasvlakte;Nederlandse Gasunie;Nederlandse Gasunie
NAM B.V. Gasbehandelingsinstallatie Grijpskerk;NAM B.V.;NAM
NAM B.V. Gasproductie en gascompressie-installatie;NAM B.V.;NAM
NAM B.V. gaszuiveringsinstallatie (GZI) Emmen;NAM B.V.;NAM
NAM B.V. Grijpskerk USG;NAM B.V.;NAM
NAM B.V. locatie Den Helder;NAM B.V.;NAM
NAM B.V. locatie K14-FA-1C/P;NAM B.V.;NAM
NAM B.V. Norg USG;NAM B.V.;NAM
NAM B.V. Warmtekrachtcentrale en Oliebehandelingsinstallatie Schoonebeek (WKC/OBI);NAM B.V.;NAM
"NAM B.V., locatie L9-FF-1";NAM B.V.;NAM
NDHR1;NDHR1;NDHR1
Nederlandse Gasunie CS Alphen N.V.;Nederlandse Gasunie;Nederlandse Gasunie
Nederlandse Gasunie CS Beverwijk N.V.;Nederlandse Gasunie;Nederlandse Gasunie
Nederlandse Gasunie CS Oldeboorn N.V.;Nederlandse Gasunie;Nederlandse Gasunie
Nederlandse Gasunie CS Ommen N.V.;Nederlandse Gasunie;Nederlandse Gasunie
Nederlandse Gasunie CS Ravenstein N.V.;Nederlandse Gasunie;Nederlandse Gasunie
Nederlandse Gasunie CS Spijk N.V.;Nederlandse Gasunie;Nederlandse Gasunie
Nederlandse Gasunie CS Wieringermeer N.V.;Nederlandse Gasunie;Nederlandse Gasunie
Nederlandse Gasunie CS Zweekhorst N.V.;Nederlandse Gasunie;Nederlandse Gasunie
Nedmag B.V.;Nedmag B.V.;Nedmag
Neenah Coldenhove Holding B.V.;Neenah Coldenhove Holding B.V.;Neenah Coldenhove Holding
Noordam Plants B.V.;Noordam Plants B.V.;Noordam Plants
Noordelijke Asfaltproductie (NOAP) B.V.;Asfalt Centrales;Asfalt Centrales
Noordgastransport B.V.;Noordgastransport B.V.;Noordgastransport
Nouryon Industrial Chemicals B.V. (Delfzijl);Nouryon;Nobian
Nouryon Industrial Chemicals B.V. (Hengelo);Nouryon;Nobian
Nouryon Industrial Chemicals B.V. (Rotterdam);Nouryon;Nobian
NTT Global Datacenters AMS1 BV;NTT Global Datacenters AMS1 BV;NTT Global Datacenters AMS1
Nuon HWC Duiven-Westervoort;Nuon;Nuon
Nuon HWC Lelystad;Nuon;Nuon
Nuon HWC Schuytgraaf;Nuon;Nuon
Nuon HWC Waalsprong;Nuon;Nuon
Nuon Power Buggenum (WAC);Nuon;Nuon
Nuon Warmtekrachtcentrale Purmerend;Nuon;Nuon
NXP Semiconductors Nijmegen;NXP Semiconductors Nijmegen;NXP
Nyrstar Budel B.V.;Nyrstar Budel B.V.;Nyrstar Budel
"O-I Manufacturing Netherlands B.V., vestiging Leerdam";O-I Manufacturing Netherlands B.V.;O-I Manufacturing Netherlands
"O-I Manufacturing Netherlands B.V., vestiging Maastricht";O-I Manufacturing Netherlands B.V.;O-I Manufacturing Netherlands
"O-I Manufacturing Netherlands B.V., vestiging Schiedam";O-I Manufacturing Netherlands B.V.;O-I Manufacturing Netherlands
Olam Cocoa;Olam Cocoa;Olam Cocoa
Oldambt Groenvoederdrogerij B.V.;Oldambt Groenvoederdrogerij B.V.;Oldambt Groenvoederdrogerij
Ooms Producten bv;Ooms Producten bv;Ooms Producten
Owens Corning Veil Netherlands B.V.;Owens Corning Veil Netherlands B.V.;Owens Corning Veil Netherlands
P.N. Hoogerbrugge Steenbergen B.V.;P.N. Hoogerbrugge Steenbergen B.V.;P.N. Hoogerbrugge Steenbergen
Papierfabriek Doetinchem B.V.;Papierfabriek Doetinchem B.V.;Papierfabriek Doetinchem
Parenco B.V.;Parenco B.V.;Parenco
PEKA Kroef B.V.;PEKA Kroef B.V.;PEKA Kroef
PepsiCo Nederland B.V.;PepsiCo Nederland B.V.;PepsiCo
Pergen VOF;Pergen VOF;Air Liquide
PGI Nonwovens B.V.;PGI Nonwovens B.V.;PGI Nonwovens
Philip Morris Holland B.V.;Philip Morris Holland B.V.;Philip Morris
Platform J6-A;Platform J6-A;Platform J6-A
Pompstation Breda;Pompstation;Pompstation
Pompstation Tilburg;Pompstation;Pompstation
Power Plant Rotterdam B.V.;Power Plant Rotterdam B.V.;Onyx
PPG Industries Chemicals B.V.;PPG Industries;PPG Industries
PPG Industries Fiber Glass BV;PPG Industries;PPG Industries
PQ Silicas BV;PQ Silicas BV;PQ Silicas
Promelca Dairy Foods;Promelca Dairy Foods;Promelca Dairy Foods
PURAC Biochem B.V.;PURAC Biochem B.V.;PURAC Biochem
Red Harvest B.V.;Red Harvest B.V.;Red Harvest
Rendac Son B.V.;Rendac Son B.V.;Rendac Son
Rijnmond Energie C.V.;Rijnmond Energie C.V.;Uniper
Rixona B.V.;Rixona B.V.;Rixona
Rockwool B.V.;Rockwool B.V.;Rockwool
Rodruza - Steenfabriek Rossum BV;Steenfabrieken;Steenfabrieken
Rodruza - Steenfabriek Zandberg BV;Steenfabrieken;Steenfabrieken
Rosier Nederland B.V.;Rosier Nederland B.V.;Rosier Nederland
Royal Pride Holland B.V.;Royal Pride Holland B.V.;Royal Pride Holland
Ruigenhil Vastgoed B.V. Nedstaal BKG 1;Ruigenhil Vastgoed B.V. Nedstaal BKG 1;Ruigenhil Vastgoed B.V. Nedstaal BKG 1
RWE Eemshaven Centrale;RWE Eemshaven Centrale;RWE
SABIC Innovative Plastics B.V. BKG 1;SABIC Innovative Plastics B.V.;SABIC
SABIC Innovative Plastics B.V. BKG 2;SABIC Innovative Plastics B.V.;SABIC
Saint-Gobain Construction Products Nederland B.V.;Saint-Gobain Construction Products Nederland B.V.;Saint-Gobain Construction Products Nederland
Sappi Maastricht BV;Sappi Maastricht BV;Sappi
SCA Hygiene Products Cuijk B.V.;SCA Hygiene Products Cuijk B.V.;SCA Hygiene Products Cuijk
Schiphol Nederland B.V.;Schiphol Nederland B.V.;Schiphol Nederland
Seasun Epsilon B.V. (Seasun Oost);Seasun Epsilon B.V. (Seasun Oost);Seasun Epsilon B.V. (Seasun Oost)
Sensus B.V. Zwolle;Sensus;Sensus
"Sensus, vestiging Roosendaal";Sensus;Sensus
"Shell Nederland Chemie B.V., vest. Moerdijk BKG 1";Shell Nederland Chemie B.V. Moerdijk;Shell
"Shell Nederland Chemie B.V., vest. Moerdijk BKG 2";Shell Nederland Chemie B.V. Moerdijk;Shell
"Shell Nederland Chemie B.V., vest. Moerdijk BKG 3";Shell Nederland Chemie B.V. Moerdijk;Shell
"Shell Nederland Chemie B.V., vest. Moerdijk BKG 4";Shell Nederland Chemie B.V. Moerdijk;Shell
"Shell Nederland Chemie B.V., vest. Moerdijk BKG 5";Shell Nederland Chemie B.V. Moerdijk;Shell
"Shell Nederland Chemie B.V., vest. Moerdijk BKG 6";Shell Nederland Chemie B.V. Moerdijk;Shell
"Shell Nederland Chemie B.V., vest. Moerdijk BKG 7";Shell Nederland Chemie B.V. Moerdijk;Shell
"Shell Nederland Chemie B.V., vest. Moerdijk BKG 8";Shell Nederland Chemie B.V. Moerdijk;Shell
"Shell Nederland Chemie B.V., vestiging Pernis";Shell Nederland Chemie B.V. Pernis;Shell
Shell Nederland Raffinaderij B.V.;Shell Nederland Chemie B.V. Pernis;Shell
"Shin-Etsu PVC B.V., locatie Botlek";"Shin-Etsu PVC B.V., locatie Botlek";Shin-Etsu
Sime Darby Unimills B.V.;Sime Darby Unimills B.V.;Sime Darby Unimills
Siniat B.V.;Siniat B.V.;Siniat
Sloe Centrale B.V.;Sloe Centrale B.V.;Sloe Centrale B.V.
Smart Packaging Solutions B.V.;Smart Packaging Solutions B.V.;Smurfit Kappa
Smurfit Kappa Roermond Papier B.V.;Smurfit Kappa Roermond Papier B.V.;Smurfit Kappa
Solidus Solutions Board B.V. loc. Bad Nieuweschans;Solidus Solutions Board B.V.;Solidus Solutions Board
Solidus Solutions Board B.V. locatie Coevorden;Solidus Solutions Board B.V.;Solidus Solutions Board
Solidus Solutions Board B.V. locatie Hoogkerk;Solidus Solutions Board B.V.;Solidus Solutions Board
Solidus Solutions Board B.V. locatie Oude Pekela;Solidus Solutions Board B.V.;Solidus Solutions Board
Sonac Burgum B.V.;Sonac;Sonac
Sonac Vuren B.V.;Sonac;Sonac
Sonneborn Refined Products;Sonneborn Refined Products;Sonneborn Refined Products
Steenfabriek De Rijswaard BV;Steenfabrieken;Steenfabrieken
Steenfabriek Engels Helden BV;Steenfabrieken;Steenfabrieken
Steenfabriek Engels Oeffelt BV;Steenfabrieken;Steenfabrieken
Steenfabriek Gebroeders Klinkers BV;Steenfabrieken;Steenfabrieken
Steenfabriek Linssen BV;Steenfabrieken;Steenfabrieken
Steenindustrie Strating B.V.;Steenindustrie Strating B.V.;Steenindustrie Strating
Steinzeug-Keramo BV;Steinzeug-Keramo BV;Steinzeug-Keramo
Stichting Katholieke Universiteit (SKU);Stichting Katholieke Universiteit (SKU);Stichting Katholieke Universiteit (SKU)
Stichting VU-VUmc FCO / CCE;Stichting VU-VUmc FCO / CCE;Stichting VU-VUmc FCO / CCE
Strabag Asfalt;Asfalt Centrales;Asfalt Centrales
Suiker Unie fabriek Dinteloord;Suiker Unie;Suiker Unie
"Suiker Unie, productielocatie Vierverlaten";Suiker Unie;Suiker Unie
TAQA Offshore B.V.;TAQA;TAQA
TAQA Onshore B.V.;TAQA;TAQA
TAQA Piekgas B.V.;TAQA;TAQA
Tas Paprika C.V.;Tas Paprika C.V.;Tas Paprika C.V.
Tata Steel IJmuiden bv BKG 1;Tata Steel IJmuiden bv;Tata Steel
Tata Steel IJmuiden bv BKG 2;Tata Steel IJmuiden bv;Tata Steel
Tate & Lyle Netherlands B.V.;Tate & Lyle Netherlands B.V.;Tate & Lyle Netherlands
Ten Cate Advanced Textiles B.V.;TenCate;TenCate
TenCate Outdoor Fabrics B.V.;TenCate;TenCate
Theo Pouw Secundaire Bouwstoff. B.V loc. Eemshaven;Theo Pouw Secundaire Bouwstoff. B.V loc. Eemshaven;Theo Pouw Secundaire Bouwstoff. B.V loc. Eemshaven
Tomatenkwekerij Gebr. Duijvestijn;Tomatenkwekerij Gebr. Duijvestijn;Tomatenkwekerij Gebr. Duijvestijn
Total offshore platform F15A;Total offshore platform;Total
Total offshore platform K5 Central Complex;Total offshore platform;Total
Total offshore platform K6 Central Complex;Total offshore platform;Total
Total offshore platform L7 Central Complex;Total offshore platform;Total
Trespa International B.V.;Trespa International B.V.;Trespa International
"TU Delft, Warmte-Krachtcentrale";"TU Delft, Warmte-Krachtcentrale";"TU Delft, Warmte-Krachtcentrale"
TWC VU;TWC VU;TWC VU
UMC Utrecht;UMC Utrecht;UMC Utrecht
Uniper Centrale De Constant Rebecqueplein;Uniper Centrale De Constant Rebecqueplein;Uniper
Uniper Centrale Leiden;Uniper Centrale Leiden;Uniper
Uniper Centrale Maasvlakte;Uniper Centrale Maasvlakte;Uniper
Uniper Centrale RoCa;Uniper Centrale RoCa;Uniper
Uniper HWC Bezuidenhout West;Uniper HWC Bezuidenhout West;Uniper
Uniper HWC Blekerstraat;Uniper HWC Blekerstraat;Uniper
Uniper HWC Delftse Vaart;Uniper HWC Delftse Vaart;Uniper
Uniper HWC Kop van Zuid;Uniper HWC Kop van Zuid;Uniper
Uniper HWC Stevenshof;Uniper HWC Stevenshof;Uniper
Uniper Maasvlakte Powerplant 3;Uniper Maasvlakte Powerplant 3;Uniper
"Universiteit Utrecht, locatie De Uithof";"Universiteit Utrecht, locatie De Uithof";"Universiteit Utrecht, locatie De Uithof"
Van Houtum Holding B.V.;Van Houtum Holding B.V.;Van Houtum Holding
Vattenfall Centrale Diemen;Vattenfall Centrale Diemen;Vattenfall
Vattenfall Centrale Hemweg;Vattenfall Centrale Hemweg;Vattenfall
Vattenfall HWC Almere;Vattenfall HWC Almere;Vattenfall
Vattenfall HWC Arena - Holterbergweg;Vattenfall HWC Arena - Holterbergweg;Vattenfall
Vattenfall HWC Boris Pasternak;Vattenfall HWC Boris Pasternak;Vattenfall
Vattenfall Magnum Centrale Eemsmond;Vattenfall Eemsmond;Vattenfall
Vattenfall Power IJmond;Vattenfall IJmond;Vattenfall
Vattenfall Power Velsen;Vattenfall Velsen;Vattenfall
VDL Nedcar B.V.;VDL Nedcar B.V.;VDL Nedcar
Veolia Industriediensten B.V.;Veolia Industriediensten B.V.;Veolia Industriediensten
Vlisco Netherlands B.V.;Vlisco Netherlands B.V.;Vlisco Netherlands
Vopak Terminal Amsterdam Westpoort B.V.;Vopak Terminal;Vopak
Vopak Terminal Botlek B.V.;Vopak Terminal;Vopak
Vopak Terminal Eemshaven B.V. (VTEH);Vopak Terminal;Vopak
Vopak Terminal Europoort B.V.;Vopak Terminal;Vopak
Vopak Terminal Vlaardingen B.V.;Vopak Terminal;Vopak
Vopak Terminal Vlissingen B.V.;Vopak Terminal;Vopak
VPR Energy B.V.;VPR Energy B.V.;VPR Energy
Warmte Station Galileitraat;Warmte Station Galile?traat;Warmte Station Galile?traat
Wetenschappelijk Centrum Watergraafsmeer;Wetenschappelijk Centrum Watergraafsmeer;Wetenschappelijk Centrum Watergraafsmeer
Wienerberger B.V. Steenfabriek Bemmel;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek de Nijverheid;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek De Vlijt;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Erlecom;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Haaften;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Heteren;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Kijfwaard Oost;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Kijfwaard West;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Nuance;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Poriso;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Schipperswaard;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Thorn;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Wolfswaard;Steenfabrieken;Steenfabrieken
Wienerberger B.V. Steenfabriek Zennewijnen;Steenfabrieken;Steenfabrieken
Wienerberger Dakpannenfabriek Janssen Dings;Steenfabrieken;Steenfabrieken
Wienerberger Dakpannenfabriek Narvik Deest;Steenfabrieken;Steenfabrieken
Wienerberger Dakpannenfabriek Narvik Tegelen;Steenfabrieken;Steenfabrieken
Wijnen Facilities B.V.;Wijnen Facilities B.V.;Wijnen Facilities
Wintershall Noordzee B.V. F16-A;Wintershall Noordzee B.V.;Wintershall Noordzee
Wintershall Noordzee B.V. L8-P4;Wintershall Noordzee B.V.;Wintershall Noordzee
Wintershall Noordzee B.V. P6-A;Wintershall Noordzee B.V.;Wintershall Noordzee
WKC Bergen op Zoom;WKC;WKC
WKC Eindhoven;WKC;WKC
WKC Enschede;WKC;WKC
WKC Erica;WKC;WKC
WKC Heineken;WKC;WKC
WKC Helmond 1 & 2;WKC;WKC
WKC Klazienaveen;WKC;WKC
WKC Kruiningen;WKC;WKC
WKC Moerdijk;WKC;WKC
Wormdal Vastgoed BV;Wormdal Vastgoed BV;Wormdal Vastgoed
Yara Sluiskil B.V. BKG 1;Yara Sluiskil B.V.;Yara
Yara Sluiskil B.V. BKG 2;Yara Sluiskil B.V.;Yara
Yara Sluiskil B.V. BKG 3;Yara Sluiskil B.V.;Yara
Yara Sluiskil B.V. BKG 4;Yara Sluiskil B.V.;Yara
Yara Sluiskil B.V. BKG 5;Yara Sluiskil B.V.;Yara
Yara Sluiskil B.V. BKG 6;Yara Sluiskil B.V.;Yara
Zalco B.V.;Zalco B.V.;Zalco
Zeeland Refinery N.V.;Zeeland Refinery N.V.;Zeeland Refinery N.V.
Zwanenberg Food Oss B.V.;Zwanenberg Food Oss B.V.;Zwanenberg Food Oss
